#  t             x             y         z vx           vy          vz lat lon           alt         vit          pen         azi
99.6682481 6363.288182 678.1167799 3670.859601 -0.528744029 6.784053941 -0.365107645 29.9836624 6.082884067 1004.605039 6.814415728 -0.127719225 93.47260013
199.3364962 6284.387212 1350.353521 3616.401763 -1.053541757 6.695659908 -0.726828423 29.50511266 12.12699802 1002.340263 6.81689749 -0.253955549 96.89225284
299.0047443 6153.540728 2010.870121 3526.20063 -1.570458063 6.549004653 -1.081794249 28.71666535 18.09649187 998.5930546 6.821002806 -0.377246362 100.2088226
398.6729924 5971.729459 2653.906485 3401.095807 -2.075580766 6.345092608 -1.426674968 27.63135641 23.96092265 993.4042266 6.826685666 -0.496169341 103.3773621
498.3412405 5740.322384 3273.822826 3242.256099 -2.565033538 6.08533417 -1.758198221 26.26622322 29.69699309 986.8302947 6.833882498 -0.609361847 106.3597366
598.0094886 5461.07244 3865.140312 3051.172719 -3.034990509 5.771549296 -2.073170344 24.64133931 35.28941478 978.9428534 6.842512984 -0.715539425 109.1253664
697.6777367 5136.110682 4422.582067 2829.650349 -3.481693043 5.405971259 -2.368498577 22.7788492 40.73095425 969.8277806 6.852481099 -0.813513103 111.6511451
797.3459848 4767.938639 4941.114542 2579.795912 -3.901469116 4.991249942 -2.641214772 20.70210886 46.02185004 959.5842712 6.863676327 -0.902205209 113.9207189
897.0142329 4359.418594 5415.98915 2304.004908 -4.290755624 4.530453927 -2.888500743 18.43499744 51.16884096 948.3237073 6.875975069 -0.980663391 115.9233695
996.682481 3913.761486 5842.784023 2004.945133 -4.646123848 4.02707051 -3.107715265 16.00142658 56.18403226 936.1683737 6.889242184 -1.048072565 117.652724
1096.350729 3434.512111 6217.445621 1685.537628 -4.964308184 3.485002722 -3.296422628 13.42504305 61.0837737 923.2500305 6.903332664 -1.103764531 119.1054718
1196.018977 2925.531304 6536.329863 1348.934722 -5.242238074 2.908562358 -3.452422543 10.72910191 65.88765959 909.7083608 6.91809341 -1.147225001 120.2802
1295.687225 2390.974773 6796.24231 998.4950289 -5.477072917 2.302457993 -3.57378101 7.93647899 70.6177024 895.6893107 6.933365074 -1.178097852 121.176408
1395.355473 1835.268342 6994.476876 637.75535 -5.666239565 1.671777012 -3.658861673 5.069790542 75.29768789 881.3433499 6.948983949 -1.196186451 121.7937222
1495.023722 1263.07933 7128.852398 270.3994497 -5.807471791 1.021960728 -3.706356978 2.151591074 79.95268994 866.8236781 6.964783872 -1.201451982 122.131308
